subject,label,atlas_vol_L_mm3,atlas_vol_R_mm3,warped_vol_L_mm3,warped_vol_R_mm3,VPI_left,VPI_right,VPI_tier,LR_ratio,symmetry_tier,cross_subject_CV
IXI015-HH-1258,VM,156.0,159.0,167.7,163.48,1.075,1.028,IYI,1.026,SIMETRIK,0.091
IXI016-Guys-0697,VM,156.0,159.0,131.84,135.0,0.845,0.849,IYI,0.977,SIMETRIK,0.091
IXI002-Guys-0828,VPI,69.0,69.0,55.9,51.68,0.81,0.749,IYI,1.082,SIMETRIK,0.051
IXI012-HH-1211,VPI,69.0,69.0,64.34,59.06,0.932,0.856,IYI,1.089,SIMETRIK,0.051
IXI013-HH-1212,VPI,69.0,69.0,62.23,60.12,0.902,0.871,IYI,1.035,SIMETRIK,0.051
IXI015-HH-1258,VPI,69.0,69.0,62.23,65.39,0.902,0.948,IYI,0.952,SIMETRIK,0.051
IXI016-Guys-0697,VPI,69.0,69.0,58.01,53.79,0.841,0.78,IYI,1.078,SIMETRIK,0.051
IXI002-Guys-0828,VPLa,117.0,108.0,119.18,101.25,1.019,0.937,IYI,1.177,SIMETRIK,0.058
IXI012-HH-1211,VPLa,117.0,108.0,108.63,92.81,0.928,0.859,IYI,1.17,SIMETRIK,0.058
IXI013-HH-1212,VPLa,117.0,108.0,109.69,95.98,0.937,0.889,IYI,1.143,SIMETRIK,0.058
IXI015-HH-1258,VPLa,117.0,108.0,108.63,89.65,0.928,0.83,IYI,1.212,SIMETRIK,0.058
IXI016-Guys-0697,VPLa,117.0,108.0,99.14,90.7,0.847,0.84,IYI,1.093,SIMETRIK,0.058
IXI002-Guys-0828,VPLp,553.0,548.0,484.1,465.12,0.875,0.849,IYI,1.041,SIMETRIK,0.031
IXI012-HH-1211,VPLp,553.0,548.0,491.49,532.62,0.889,0.972,IYI,0.923,SIMETRIK,0.031
IXI013-HH-1212,VPLp,553.0,548.0,484.1,450.35,0.875,0.822,IYI,1.075,SIMETRIK,0.031
IXI015-HH-1258,VPLp,553.0,548.0,476.72,448.24,0.862,0.818,IYI,1.064,SIMETRIK,0.031
IXI016-Guys-0697,VPLp,553.0,548.0,449.3,427.15,0.812,0.779,IYI,1.052,SIMETRIK,0.031
IXI002-Guys-0828,VPM,186.0,186.0,155.04,153.98,0.834,0.828,IYI,1.007,SIMETRIK,0.093
IXI012-HH-1211,VPM,186.0,186.0,175.08,182.46,0.941,0.981,IYI,0.96,SIMETRIK,0.093
IXI013-HH-1212,VPM,186.0,186.0,184.57,167.7,0.992,0.902,IYI,1.101,SIMETRIK,0.093
IXI015-HH-1258,VPM,186.0,186.0,189.84,169.81,1.021,0.913,IYI,1.118,SIMETRIK,0.093
IXI016-Guys-0697,VPM,186.0,186.0,149.77,167.7,0.805,0.902,IYI,0.893,SIMETRIK,0.093
IXI002-Guys-0828,mtt,57.0,69.0,35.86,64.34,0.629,0.932,ORTA,0.557,HAFIF_ASIM,0.104
IXI012-HH-1211,mtt,57.0,69.0,47.46,66.45,0.833,0.963,IYI,0.714,HAFIF_ASIM,0.104
IXI013-HH-1212,mtt,57.0,69.0,48.52,55.9,0.851,0.81,IYI,0.868,SIMETRIK,0.104
IXI015-HH-1258,mtt,57.0,69.0,45.35,50.63,0.796,0.734,IYI,0.896,SIMETRIK,0.104
IXI016-Guys-0697,mtt,57.0,69.0,47.46,43.24,0.833,0.627,IYI,1.098,SIMETRIK,0.104
IXI002-Guys-0828,sPf,14.0,14.0,9.49,9.49,0.678,0.678,ORTA,1.0,SIMETRIK,0.304
IXI012-HH-1211,sPf,14.0,14.0,14.77,12.66,1.055,0.904,IYI,1.167,SIMETRIK,0.304
IXI013-HH-1212,sPf,14.0,14.0,11.6,8.44,0.829,0.603,IYI,1.375,HAFIF_ASIM,0.304
IXI015-HH-1258,sPf,14.0,14.0,20.04,8.44,1.431,0.603,ORTA,2.375,ASIMETRIK,0.304
IXI016-Guys-0697,sPf,14.0,14.0,9.49,8.44,0.678,0.603,ORTA,1.125,SIMETRIK,0.304
IXI002-Guys-0828,thalamus_body,339.0,334.0,252.07,208.83,0.744,0.625,IYI,1.207,SIMETRIK,0.08
IXI012-HH-1211,thalamus_body,339.0,334.0,278.44,281.6,0.821,0.843,IYI,0.989,SIMETRIK,0.08
IXI013-HH-1212,thalamus_body,339.0,334.0,259.45,280.55,0.765,0.84,IYI,0.925,SIMETRIK,0.08
IXI015-HH-1258,thalamus_body,339.0,334.0,284.77,275.27,0.84,0.824,IYI,1.034,SIMETRIK,0.08
IXI016-Guys-0697,thalamus_body,339.0,334.0,315.35,286.87,0.93,0.859,IYI,1.099,SIMETRIK,0.08
